Ticker,Year,Trimestre,Tri_Performance,CAC40_Tri_Performance,Quarterly_Beta,abs_Beta,Date
ORA.PA,2023,2,-2.6737051460424337,0.7364605571488261,-0.03,0.03,2023-T2
ORA.PA,2023,3,-3.5533954157998524,-0.8392141651334131,0.31,0.31,2023-T3
PUB.PA,2020,1,-35.791542174816286,-27.23462522241993,0.87,0.87,2020-T1
PUB.PA,2020,2,14.370777511459046,17.321330834540717,1.3,1.3,2020-T2
PUB.PA,2020,3,-2.198584476806844,-2.5066268610684657,0.96,0.96,2020-T3
PUB.PA,2020,4,48.11045655355138,15.078028194161847,1.33,1.33,2020-T4
PUB.PA,2021,1,25.730856929035017,8.557406438299557,0.97,0.97,2021-T1
PUB.PA,2021,2,3.850596944320181,6.633995958992106,0.97,0.97,2021-T2
PUB.PA,2021,3,4.935154613073102,-0.5158832482517985,1.23,1.23,2021-T3
PUB.PA,2021,4,2.1041759750522218,9.747929856462608,0.87,0.87,2021-T4
PUB.PA,2022,1,-6.781377430067743,-7.722503693457224,0.95,0.95,2022-T1
PUB.PA,2022,2,-15.286858576128973,-11.391604947073542,1.09,1.09,2022-T2
PUB.PA,2022,3,4.980677551793235,-2.844689029902581,1.29,1.29,2022-T3
PUB.PA,2022,4,20.283393387786205,11.729241989516805,0.93,0.93,2022-T4
PUB.PA,2023,1,20.315117269331505,11.03666094833144,1.17,1.17,2023-T1
PUB.PA,2023,2,2.4818722099840818,0.7364605571488261,0.99,0.99,2023-T2
PUB.PA,2023,3,1.2328452180913494,-0.8392141651334131,0.43,0.43,2023-T3
RI.PA,2020,1,-19.270351093922383,-27.23462522241993,0.55,0.55,2020-T1
RI.PA,2020,2,8.903574187255945,17.321330834540717,0.6,0.6,2020-T2
RI.PA,2020,3,-3.13056496601649,-2.5066268610684657,0.75,0.75,2020-T3
RI.PA,2020,4,15.634215334812252,15.078028194161847,0.84,0.84,2020-T4
RI.PA,2021,1,0.850665488012524,8.557406438299557,0.63,0.63,2021-T1
RI.PA,2021,2,15.985132606823344,6.633995958992106,0.56,0.56,2021-T2
RI.PA,2021,3,1.9786079937124,-0.5158832482517985,0.77,0.77,2021-T3
RI.PA,2021,4,11.28650176469639,9.747929856462608,0.56,0.56,2021-T4
RI.PA,2022,1,-5.230622843734692,-7.722503693457224,0.79,0.79,2022-T1
RI.PA,2022,2,-12.020073750686166,-11.391604947073542,0.98,0.98,2022-T2
RI.PA,2022,3,7.760345850793509,-2.844689029902581,0.55,0.55,2022-T3
RI.PA,2022,4,0.2454975126842324,11.729241989516805,0.87,0.87,2022-T4
RI.PA,2023,1,12.87182468220208,11.03666094833144,0.55,0.55,2023-T1
RI.PA,2023,2,-2.972201354564945,0.7364605571488261,0.52,0.52,2023-T2
RI.PA,2023,3,-3.4277243172715317,-0.8392141651334131,0.68,0.68,2023-T3
RMS.PA,2020,1,-6.289122534579918,-27.23462522241993,0.75,0.75,2020-T1
RMS.PA,2020,2,25.641889829893373,17.321330834540717,0.7,0.7,2020-T2
RMS.PA,2020,3,-0.4327849744888904,-2.5066268610684657,0.77,0.77,2020-T3
RMS.PA,2020,4,17.467947372500873,15.078028194161847,0.32,0.32,2020-T4
RMS.PA,2021,1,6.739029165611342,8.557406438299557,1.05,1.05,2021-T1
RMS.PA,2021,2,28.423586802573148,6.633995958992106,0.84,0.84,2021-T2
RMS.PA,2021,3,-1.9262295081967211,-0.5158832482517985,1.26,1.26,2021-T3
RMS.PA,2021,4,28.48180677540778,9.747929856462608,0.93,0.93,2021-T4
RMS.PA,2022,1,-16.27228525121556,-7.722503693457224,1.13,1.13,2022-T1
RMS.PA,2022,2,-16.017316017316016,-11.391604947073542,1.17,1.17,2022-T2
RMS.PA,2022,3,14.218676677616145,-2.844689029902581,1.29,1.29,2022-T3
RMS.PA,2022,4,17.67100977198697,11.729241989516805,1.45,1.45,2022-T4
RMS.PA,2023,1,26.54446707399864,11.03666094833144,1.17,1.17,2023-T1
RMS.PA,2023,2,6.93175711982805,0.7364605571488261,1.34,1.34,2023-T2
RMS.PA,2023,3,-2.0132868888125954,-0.8392141651334131,1.66,1.66,2023-T3
RNO.PA,2020,1,-57.73747126913972,-27.23462522241993,1.56,1.56,2020-T1
RNO.PA,2020,2,38.425696073495125,17.321330834540717,2.09,2.09,2020-T2
RNO.PA,2020,3,3.2325567201126457,-2.5066268610684657,1.99,1.99,2020-T3
RNO.PA,2020,4,68.87839249101813,15.078028194161847,1.73,1.73,2020-T4
RNO.PA,2021,1,3.271817781205127,8.557406438299557,1.21,1.21,2021-T1
RNO.PA,2021,2,-10.208114050205678,6.633995958992106,2.0,2.0,2021-T2
RNO.PA,2021,3,-13.240662936740517,-0.5158832482517985,1.29,1.29,2021-T3
RNO.PA,2021,4,-1.292614711504348,9.747929856462608,1.35,1.35,2021-T4
RNO.PA,2022,1,-24.001275491927757,-7.722503693457224,1.68,1.68,2022-T1
